job_id,title,company,city,contract_type,seniority,salary_min_eur,salary_max_eur,remote_policy,skills,posted_date
JOB0001,Data Scientist,IsCool,Paris,CDI,Junior,45033,49872,On-site,"NumPy, Python, Scikit-learn",2026-03-01
JOB0002,Data Engineer,FinanceLab,Paris,CDI,Mid,52464,59900,Hybrid,"AWS, GCP, Python, Spark",2026-03-13
JOB0003,Data Analyst,IsCool,Remote France,CDI,Junior,29792,36732,Remote,"Excel, Looker, NumPy, Power BI, Python, SQL, Tableau",2026-03-17
JOB0004,BI Analyst,IsCool,Lille,Alternance,Mid,41771,46340,Hybrid,"Power BI, SQL, Tableau",2026-03-13
JOB0005,Data Engineer,HexaData,Marseille,CDI,Mid,49490,55677,Remote,"Airflow, NumPy, SQL, dbt",2026-05-23
JOB0006,Data Analyst,MobilityX,Paris,CDD,Junior,33262,43856,Hybrid,"Excel, Looker, Power BI, SQL, Tableau",2026-04-28
JOB0007,Data Analyst,Junot,Paris,CDD,Mid,47119,55907,On-site,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-02-09
JOB0008,Data Scientist,HexaData,Bordeaux,CDI,Junior,38126,47007,Hybrid,"Azure, Dataiku, NumPy, Pandas, Python, SQL, Scikit-learn, Tableau",2026-02-10
JOB0009,Data Engineer,Lyon Analytics,Remote France,Alternance,Junior,40100,50341,On-site,"AWS, Docker, Looker, SQL, Snowflake",2026-04-06
JOB0010,BI Analyst,Junot,Lyon,CDD,Mid,37004,45910,On-site,"Excel, Looker, Power BI, SQL, Tableau",2026-05-26
JOB0011,ML Engineer,Lyon Analytics,Paris,CDI,Junior,51230,59593,Remote,"AWS, Dataiku, Docker, Git, Scikit-learn, Spark",2026-02-21
JOB0012,Data Scientist,GreenGrid,Paris,CDI,Mid,51239,58937,On-site,"Dataiku, Python, SQL",2026-05-31
JOB0013,Data Analyst,GreenGrid,Paris,CDI,Junior,33257,44299,On-site,"Excel, Power BI, Python, SQL, Tableau",2026-05-27
JOB0014,Data Scientist,FinanceLab,Paris,CDI,Mid,47772,52566,Remote,"Dataiku, NumPy, Pandas, Python, SQL, Scikit-learn",2026-03-28
JOB0015,BI Analyst,IsCool,Paris,CDI,Mid,41148,48604,On-site,"BigQuery, Excel, Looker, SQL, Tableau",2026-05-19
JOB0016,BI Analyst,FinanceLab,Remote France,Alternance,Senior,46362,53691,Hybrid,"Excel, Looker, Power BI, SQL, Tableau",2026-04-27
JOB0017,Data Analyst,Junot,Toulouse,CDD,Mid,42422,52307,Remote,"Azure, Excel, Looker, Power BI, Python, SQL, Tableau",2026-05-03
JOB0018,Data Engineer,Lyon Analytics,Marseille,CDI,Senior,53656,64630,Remote,"Docker, GCP, SQL, Snowflake, Tableau",2026-01-11
JOB0019,Data Scientist,IsCool,Paris,CDI,Mid,49136,54809,On-site,"Azure, Dataiku, Pandas, Python, SQL, Scikit-learn",2026-04-28
JOB0020,Data Scientist,MobilityX,Lyon,CDI,Mid,48144,54316,Remote,"Pandas, Python, SQL, Scikit-learn, dbt",2026-03-19
JOB0021,Data Scientist,GreenGrid,Remote France,CDI,Junior,39543,45995,On-site,"Pandas, Python, SQL",2026-03-11
JOB0022,Data Analyst,Junot,Paris,CDI,Mid,43162,51302,Hybrid,"Excel, Looker, Power BI, Python, SQL, Tableau",2026-02-03
JOB0023,Data Scientist,GreenGrid,Paris,CDD,Mid,50503,59097,On-site,"Dataiku, Pandas, Python, SQL",2026-04-21
JOB0024,Data Analyst,DataNova,Paris,Alternance,Mid,41326,52689,On-site,"Excel, Looker, Power BI, Python, SQL, Spark",2026-04-16
JOB0025,Data Analyst,MobilityX,Nantes,CDI,Senior,51487,62565,On-site,"Excel, Power BI, Python, SQL",2026-02-21
JOB0026,BI Analyst,HexaData,Lyon,CDI,Mid,38864,44690,Hybrid,"Excel, Looker, Power BI",2026-05-11
JOB0027,Data Engineer,RetailFlow,Remote France,CDI,Senior,53944,65128,Hybrid,"AWS, Airflow, GCP, Pandas, Python, Spark",2026-05-11
JOB0028,Data Analyst,RetailFlow,Grenoble,CDI,Junior,32572,36585,Remote,"Dataiku, Looker, Power BI, SQL, Tableau",2026-02-01
JOB0029,Data Scientist,HexaData,Paris,CDI,Mid,50296,60007,Hybrid,"Dataiku, NumPy, Pandas, SQL, Scikit-learn, Snowflake, dbt",2026-05-21
JOB0030,BI Analyst,HexaData,Paris,CDI,Mid,44969,54332,Remote,"Excel, Looker, Power BI, SQL, Tableau, dbt",2026-03-27
JOB0031,Data Analyst,FinanceLab,Remote France,CDI,Junior,30631,35838,Remote,"Docker, Excel, Power BI, SQL, Tableau",2026-05-28
JOB0032,Data Analyst,GreenGrid,Toulouse,CDI,Junior,34374,44007,Hybrid,"Excel, SQL, Tableau",2026-01-13
JOB0033,Data Scientist,MobilityX,Grenoble,CDI,Junior,38806,48274,Hybrid,"Dataiku, NumPy, Pandas, SQL, Scikit-learn",2026-03-08
JOB0034,BI Analyst,HexaData,Marseille,CDI,Mid,39969,49103,Hybrid,"Excel, Power BI, SQL, Tableau",2026-03-23
JOB0035,Analytics Engineer,Junot,Paris,CDI,Mid,47251,57037,On-site,"BigQuery, Docker, Looker, Python, SQL, Scikit-learn",2026-04-18
JOB0036,Data Engineer,MobilityX,Nantes,Stage,Junior,42271,50987,On-site,"AWS, Airflow, BigQuery, GCP, Python, Spark, dbt",2026-03-11
JOB0037,Data Engineer,FinanceLab,Paris,CDI,Mid,51312,61244,Remote,"AWS, Airflow, GCP, Spark",2026-05-25
JOB0038,Data Scientist,HexaData,Paris,CDI,Senior,57488,61899,Hybrid,"Dataiku, NumPy, Pandas, SQL, Scikit-learn",2026-03-06
JOB0039,BI Analyst,Junot,Lyon,CDD,Junior,31866,37702,Remote,"Excel, Looker, SQL",2026-02-09
JOB0040,Data Analyst,Junot,Lyon,CDI,Senior,50809,60539,Hybrid,"Excel, Power BI, Python, SQL, Tableau",2026-05-28
JOB0041,Data Scientist,RetailFlow,Remote France,CDI,Mid,43622,52472,Remote,"Dataiku, NumPy, Pandas, Python",2026-04-20
